x,y,c
39.29241,-76.61408,1
39.28242,-76.59288,0
39.34805,-76.58834,3
39.36263,-76.55161,3
39.28938,-76.61971,1
39.37070,-76.56709,3
39.28624,-76.64455,4
39.29591,-76.56777,0
39.33177,-76.54873,3
39.30340,-76.63842,1
39.29662,-76.66508,4
39.30587,-76.67216,4
39.29883,-76.61042,1
39.28111,-76.57824,0
39.32120,-76.53906,0
39.28796,-76.63672,4
39.30364,-76.61172,1
39.28810,-76.64888,4
39.28660,-76.68681,4
39.31249,-76.64539,4
39.31249,-76.64539,4
39.23616,-76.61077,5
39.35908,-76.56120,3
39.30038,-76.58101,0
39.30128,-76.58385,0
39.35025,-76.59839,3
39.32000,-76.62224,1
39.34513,-76.54164,3
39.29765,-76.56099,0
39.27769,-76.68649,4
39.30684,-76.62412,1
39.29628,-76.56779,0
39.31331,-76.64263,4
39.30588,-76.63353,1
39.33310,-76.54578,3
39.36789,-76.64938,2
39.30479,-76.55919,0
39.30344,-76.63458,1
39.31819,-76.61706,1
39.33096,-76.69447,2
39.36039,-76.57142,3
39.28524,-76.64503,4
39.35952,-76.58856,3
39.36914,-76.58820,3
39.34309,-76.66716,2
39.35131,-76.56226,3
39.29489,-76.62127,1
39.29858,-76.62437,1
39.27905,-76.63523,4
39.31435,-76.61810,1
39.28668,-76.60980,1
39.28810,-76.64888,4
39.32178,-76.56278,3
39.28141,-76.57407,0
39.35909,-76.69467,2
39.30423,-76.62992,1
39.24570,-76.62276,5
39.31794,-76.61380,1
39.35860,-76.69386,2
39.29735,-76.57302,0
39.30294,-76.63386,1
39.31484,-76.56457,0
39.30548,-76.64362,4
39.32074,-76.56522,0
39.31599,-76.63616,1
39.32140,-76.56856,3
39.34415,-76.67980,2
39.34553,-76.56367,3
39.31545,-76.68735,2
39.33909,-76.60551,3
39.25430,-76.65160,5
39.34306,-76.59479,3
39.26109,-76.65869,4
39.30445,-76.63833,1
39.28634,-76.61946,1
39.30392,-76.54074,0
39.30392,-76.54074,0
39.22882,-76.59287,5
39.29536,-76.64012,4
39.28307,-76.58037,0
39.29910,-76.56033,0
39.27937,-76.65494,4
39.28556,-76.67107,4
39.30280,-76.61436,1
39.31039,-76.60236,1
39.29131,-76.61010,1
39.33616,-76.70622,2
39.36391,-76.54867,3
39.29434,-76.57097,0
39.29921,-76.60015,1
39.32407,-76.62346,1
39.35085,-76.66110,2
39.31110,-76.58436,0
39.32365,-76.62339,1
39.28962,-76.65299,4
39.33093,-76.67084,2
39.30385,-76.54095,0
39.28270,-76.64973,4
39.34336,-76.66242,2
39.30344,-76.63458,1
39.22812,-76.60005,5
39.30810,-76.63090,1
39.29732,-76.59757,1
39.30138,-76.61311,1
39.29164,-76.56050,0
39.28761,-76.53982,0
39.28492,-76.58522,0
39.32320,-76.61717,1
39.29112,-76.63072,1
39.29112,-76.63072,1
39.29320,-76.60817,1
39.30023,-76.57952,0
39.29112,-76.63072,1
39.29112,-76.63072,1
39.29112,-76.63072,1
39.28054,-76.58046,0
39.30977,-76.59132,1
39.30198,-76.63061,1
39.31497,-76.63843,1
